store_name,location,prague,floor_area,avg_weekly_opening_hours,sunday_opening_hours,price_category,lottery_pos,pudo_pos,number_of_employees,number_of_vehicles,education,real_estate_price_sqm,construction_permits,number_of_internet_subscirbers,number_of_job_seekers,pit_capita,number_of_births,population,x0_50m_avg,x50_100m_avg,x100_plusm_avg,newspaper_shelves,non_newspaper_shelves
129,Albert,0,36,80,8,8,1,1,3,11330,4520,15049.609221848108,10,8675,1005,78.55460847204695,291,18286,1214160.3898148148,0,0,12.100000000000001,5.5
130,Albert,0,41.699999999999996,81,9.0000000000000018,8,0,1,3,12409,5405,14799.9027047984,87,9185,740,95.12644873351036,316,15920,3989142.8351851846,0,579465.60370370361,15.400000000000002,6.6000000000000005
131,Main street,0,64.032,71.00000000000001,5,7,1,1,2,3570,1334,13528.623346560847,5,3294,612,71.52378060250143,126,6135,0,1046492.2731481482,354967.45370370371,19.433333337000004,2.4625000004000004
132,Albert,0,42.564,68,8,8,1,1,0,4807,1996,9787.9138425925903,38,3303,1035,74.36724103940278,173,6149,1434269.6388888888,0,0,14.3,6.6000000000000005
133,Albert,0,36.96,74,8,8,0,1,0,16379,7523,13268.535300925925,42,13555,1321,71.65734217330161,372,22097,5541151.111111111,0,0,12.65,3.3000000000000003
134,Albert,0,48.275999999999996,82,10,8,0,1,0,63760,47516,16586.666786140977,385,75780,5537,87.81789622894932,1695,104913,4822866.2925925925,0,0,15.400000000000002,6.0500000000000007
135,Albert,0,39.6,68,8,8,0,1,0,12091,4376,11746.852133655395,49,9218,1399,70.05458282987179,322,16444,2886286.5925925924,0,520415.52037037036,15.400000000000002,1.6500000000000001
136,Albert,0,40.8,83,11,8,0,1,0,12709,3836,33329.94078099839,12,10891,792,89.00310026205334,291,16341,2505335.0537037035,757838.81481481483,414298.52314814809,12.65,5.5
137,Albert,1,41.16,83,11,8,0,1,0,62067,49147,55483.561168809807,655,886683,2783,119.52873272432842,1585,96035,0,0,267183.19814814813,9.9,1.1000000000000001
138,Albert,0,32.796,80.5,11,8,1,1,0,21091,11710,55362.820414616268,181,18091,806,128.37706945565208,659,22446,4712726.8759259256,0,0,8.8000000000000007,3.3000000000000003
139,Albert,0,33.467999999999996,83,11,8,1,1,0,62566,40414,14241.763506944444,122,64284,6616,83.89277351400156,1578,94312,2870864.4296296295,0,0,9.9,5.5
140,Main street,0,46.8,72,#MISSING,8,1,1,2,83845,57181,21977.649265397962,667,87412,11437,91.92542842104444,2564,124543,528571.09907407407,0,1050444.1318518517,15.583333337000001,2.6861111112000002
141,Mall,0,57.599999999999994,61,5,8,1,1,2,21551,8489,11793.717010222887,10,20508,2187,87.02799974308695,449,29225,0,0,1119381.6483333332,14.391666663000002,0.73611111090000003
142,Mall,0,62.4,71,5,8,1,1,2,27985,15157,17027.382761567467,35,23166,2427,82.5383854796986,712,37983,675552.9727777777,1002935.8305555555,4308799.2351851854,12.416666669000001,1.6666666665000001
